addbrev_r,addlong_r,addmagDist_r,addmagIsch_r,addmagMid_r,addmagProx_r,bflh_r,bfsh_r,edl_r,ehl_r,fdl_r,fhl_r,gaslat_r,gasmed_r,glmax1_r,glmax2_r,glmax3_r,glmed1_r,glmed2_r,glmed3_r,glmin1_r,glmin2_r,glmin3_r,grac_r,iliacus_r,perbrev_r,perlong_r,piri_r,psoas_r,recfem_r,sart_r,semimem_r,semiten_r,soleus_r,tfl_r,tibant_r,tibpost_r,vasint_r,vaslat_r,vasmed_r,addbrev_l,addlong_l,addmagDist_l,addmagIsch_l,addmagMid_l,addmagProx_l,bflh_l,bfsh_l,edl_l,ehl_l,fdl_l,fhl_l,gaslat_l,gasmed_l,glmax1_l,glmax2_l,glmax3_l,glmed1_l,glmed2_l,glmed3_l,glmin1_l,glmin2_l,glmin3_l,grac_l,iliacus_l,perbrev_l,perlong_l,piri_l,psoas_l,recfem_l,sart_l,semimem_l,semiten_l,soleus_l,tfl_l,tibant_l,tibpost_l,vasint_l,vaslat_l,vasmed_l
0,0,0,0,0,0,0.005450192487871387,0,0,0,0,0,0.09981529576735232,0.3831298933124214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033747235726593126,0,0,0.005861248749545771,0,0,0.014478060490497397,0,0,0.07738759379310785,0.020512126511431916,0,0,0,0,0,0,0.0047851576351241,0,0,0,0,0,0.02602073750030579,0.033764717957888025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025900070038114485,0,0,0.0538053589279484,0,0,0.044267943727984434,0,0,0.003499332599945796,0.05839192250572473
0,0,0,0,0,0,0.005592168521674067,0,0,0,0,0,0.1036287524598625,0.39313133115553867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033026546519359365,0,0,0.005942310924636246,0,0,0.01628443646491268,0,0,0.07930429375825014,0.020791225348247292,0,0,0,0,0,0,0.005464220745622367,0,0,0,0,0,0.03615809951970269,0.02803459387621164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024005046188920836,0,0,0.059866406668620205,0,0,0.046699132390003055,0,0,0.0016852256117207774,0.06308519012870561
0,0,0,0,0,0,0.005801112242744554,0,0,0,0,0,0.10749586547800148,0.40066359227198645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03311927188254064,0,0,0.00609711626698063,0,0,0.01783748233316984,0,0,0.08098714123280897,0.021392019220899984,0,0,0,0,0,0,0.0063115069476449865,0,0,0,0,0,0.047831169928007,0.02317477096784342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02249199278136693,0,0,0.06607239210231707,0,0,0.050744274473402795,0,0,0.0005572441082902082,0.0682470702965086
0,0,0,0,0,0,0.0060547238914162894,0,0,0,0,0,0.1113024109367384,0.4055951439487389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0339112694453795,0,0,0.006308976043089955,0,0,0.019111683199146526,0,0,0.08237977800033137,0.022197476801778217,0,0,0,0,0,0,0.007309169864367929,0,0,0,0,0,0.06078566020057036,0.019233010821890172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021697952901659226,0,0,0.07234735699248311,0,0,0.056540510902528526,0,0,0.0004650040308529189,0.07383003972583585
0,0,0,0,0,0,0.006330595406807559,0,0,0,0,0,0.11493179143827469,0.4077963998585946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03527320325725211,0,0,0.006561736581429885,0,0,0.020098070437558183,0,0,0.08343672607225701,0.023098027390490085,0,0,0,0,0,0,0.008433823906614445,0,0,0,0,0,0.07467534007087427,0.016204757947738898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022007668962572186,0,0,0.07861375227999008,0,0,0.0641506800061423,0,0,0.0017967217371615484,0.07981560436373739
0,0,0,0,0,0,0.006607196312317517,0,0,0,0,0,0.11827275354539475,0.4071500116993902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03706432827960059,0,0,0.006840374462493256,0,0,0.02079837353258058,0,0,0.08411722842841315,0.02399394604602183,0,0,0,0,0,0,0.009656475599638304,0,0,0,0,0,0.08907232418960574,0.014042024833183963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023840669555587155,0,0,0.08479388760613614,0,0,0.07354762581267364,0,0,0.004963226015726314,0.08621728454120306
0,0,0,0,0,0,0.006864855689113945,0,0,0,0,0,0.12122689028285123,0.4035664653965859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391361891861833,0,0,0.007131430969771153,0,0,0.021219503141213892,0,0,0.08438034843397497,0.024797628977867518,0,0,0,0,0,0,0.010942604122071698,0,0,0,0,0,0.10348491138879741,0.012664056319949045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02763440087182893,0,0,0.09081035296004032,0,0,0.08460562481230896,0,0,0.010377212809377909,0.09308046251083336
0,0,0,0,0,0,0.007086692643926062,0,0,0,0,0,0.12371534489237482,0.39700008374677165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04133654659207055,0,0,0.0074232920892578595,0,0,0.021368916248191615,0,0,0.08418257652593673,0.025435836523526042,0,0,0,0,0,0,0.012252561418404096,0,0,0,0,0,0.11738279066935503,0.011968700602327766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033823999763817836,0,0,0.09658538068779877,0,0,0.09710002998967378,0,0,0.018428796569518676,0.10047896171448781
0,0,0,0,0,0,0.0072594209333082796,0,0,0,0,0,0.12568341748643003,0.38746069453162774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043513702303959866,0,0,0.00770633012284466,0,0,0.021251286721703094,0,0,0.08347852503190571,0.025851798997572874,0,0,0,0,0,0,0.013542439884115461,0,0,0,0,0,0.13022854932215608,0.011843531420300611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04281946241892707,0,0,0.1020394680874158,0,0,0.11071536838843525,0,0,0.029458746298207106,0.10850821517184542
0,0,0,0,0,0,0.007373929164692844,0,0,0,0,0,0.12710183713392445,0.3750202299566492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04552115264856547,0,0,0.007972943514589126,0,0,0.02086675658151377,0,0,0.0822246102266949,0.026006886818970353,0,0,0,0,0,0,0.014765528393127773,0,0,0,0,0,0.14151352455075544,0.012175979581443808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05498104034113039,0,0,0.10708990348942903,0,0,0.12506108458906207,0,0,0.04373100352851713,0.11727506255865114
